vehicle_id,title,description,availability,state_of_vehicle,price,url,image,make,model,year,body_style,mileage.unit,mileage.value,address.addr1,address.city,address.region,address.postal_code,address.country
182666A,2025 Kenworth T880,"2025 Kenworth T880, 180"" ARI Custom Sleeper, X15, 18 Speed AMT",AVAILABLE,USED,399351.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-1XKZD49X1SJ182666/,https://d8lxo54bt1xl7.cloudfront.net/prd/182666A/068Ux00000O0z2WIAR,Kenworth,T880,2025,TRUCK,MI,841,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
215308,2026 Kenworth T880,"2026 Kenworth T880, Day Cab, MX13, 510hp, 12 Speed AMT",AVAILABLE,USED,166800.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X6TJ215308/,https://d8lxo54bt1xl7.cloudfront.net/prd/215308/068Ux00000SLs0WIAT,Kenworth,T880,2026,TRUCK,MI,219,4330 Poplar Level Rd,Louisville,KY,40213,United States
215309,2026 Kenworth T880,"2026 Kenworth T880, Day Cab, MX13, 510hp, 12 Speed AMT",AVAILABLE,USED,166800.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X8TJ215309/,https://d8lxo54bt1xl7.cloudfront.net/prd/215309/068Ux00000SM13oIAD,Kenworth,T880,2026,TRUCK,MI,219,4330 Poplar Level Rd,Louisville,KY,40213,United States
215310,2026 Kenworth T880,"2026 Kenworth T880, Day Cab, MX13, 510hp, 12 Speed AMT",AVAILABLE,USED,166800.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X4TJ215310/,https://d8lxo54bt1xl7.cloudfront.net/prd/215310/068Ux00000SM4ODIA1,Kenworth,T880,2026,TRUCK,MI,220,4330 Poplar Level Rd,Louisville,KY,40213,United States
215311,2026 Kenworth T880,"2026 Kenworth T880, Day Cab, MX13, 510hp, 12 Speed AMT",AVAILABLE,USED,166800.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X6TJ215311/,https://d8lxo54bt1xl7.cloudfront.net/prd/215311/068Ux00000SLjBiIAL,Kenworth,T880,2026,TRUCK,MI,220,4330 Poplar Level Rd,Louisville,KY,40213,United States
KJ223894,2019 Kenworth T880,"2019 Kenworth T880, 144"" ARI Custom Sleeper, X15, 565HP/1850, Eaton 18 Speed Manual, Dual Exhaust",AVAILABLE,USED,209000.00 USD,https://www.palmertrucks.com/truck-details/category-Custom-Sleeper/make-Kenworth/model-T880/vin-1XKZD40X5KJ223894/,https://d8lxo54bt1xl7.cloudfront.net/prd/KJ223894/068Ux00000OHC2KIAX,Kenworth,T880,2019,TRUCK,MI,372350,6503 N. Old US 27,Fremont,IN,46737,United States
NJ488400,2022 Kenworth T880,"2022 Kenworth T880, Tri-Axle Dump, 9LL Manual",AVAILABLE,USED,169900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZLP0X3NJ488400/,https://d8lxo54bt1xl7.cloudfront.net/prd/NJ488400/068Ux00000RDPHIIA5,Kenworth,T880,2022,TRUCK,MI,295139,2929 South Holt RD.,Indianapolis,IN,46241,United States
MJ442100,2021 Kenworth T880,"2021 Kenworth T880, Tri-Axle Dump, 18' Steel Dump, MX13, 8LL Manual",AVAILABLE,USED,169900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZLP0X5MJ442100/,https://d8lxo54bt1xl7.cloudfront.net/prd/MJ442100/068Ux00000RDUjtIAH,Kenworth,T880,2021,TRUCK,MI,373457,2929 South Holt RD.,Indianapolis,IN,46241,United States
215945,2026 Kenworth T880,"2026 Kenworth T880 Day Cab, MX13, 12 Speed AMT",AVAILABLE,USED,168040.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X3TJ215945/,https://d8lxo54bt1xl7.cloudfront.net/prd/215945/068Ux00000S9WGwIAN,Kenworth,T880,2026,TRUCK,MI,89,7740 Center Point 70 Blvd.,Dayton,OH,45424,United States
215946,2026 Kenworth T880,"2026 Kenworth T880 Day Cab, MX13, 12 Speed AMT",AVAILABLE,USED,168040.00 USD,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X5TJ215946/,https://d8lxo54bt1xl7.cloudfront.net/prd/215946/068Ux00000S9b1pIAB,Kenworth,T880,2026,TRUCK,MI,91,7740 Center Point 70 Blvd.,Dayton,OH,45424,United States
